mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
9.5545720e+12	5.8120442e-01	5.4580736e-01	5.4435128e-01	4.7082003e-01	6.5824268e-03	1.5880599e-03	1.4167130e-04	3.1540703e-06	6.9359995e-06	9.9512536e-03	5.8828972e-04	2.8451640e-06	-7.5137141e-03
1.5142976e+13	5.7721101e-01	5.4432945e-01	5.4630405e-01	4.6717200e-01	6.5219389e-03	1.5741934e-03	1.4050685e-04	3.1265298e-06	6.8789901e-06	9.9319603e-03	5.8714890e-04	2.8396467e-06	-7.9028005e-03
2.4000000e+13	5.7329921e-01	5.4286330e-01	5.4827790e-01	4.6358551e-01	6.4626925e-03	1.5605841e-03	1.3936464e-04	3.0995000e-06	6.8230694e-06	9.9123711e-03	5.8599059e-04	2.8340447e-06	-8.2667906e-03
3.8037436e+13	5.6946628e-01	5.4140876e-01	5.5027320e-01	4.6005858e-01	6.4046456e-03	1.5472233e-03	1.3824394e-04	3.0729640e-06	6.7682015e-06	9.8924921e-03	5.8481514e-04	2.8283598e-06	-8.6066347e-03
6.0285274e+13	5.6570959e-01	5.3996569e-01	5.5229036e-01	4.5658931e-01	6.3477578e-03	1.5341031e-03	1.3714404e-04	3.0469057e-06	6.7143523e-06	9.8723292e-03	5.8362292e-04	2.8225938e-06	-8.9232415e-03
9.5545720e+13	5.6202665e-01	5.3853394e-01	5.5432977e-01	4.5317589e-01	6.2919910e-03	1.5212156e-03	1.3606428e-04	3.0213096e-06	6.6614891e-06	9.8518879e-03	5.8241424e-04	2.8167483e-06	-9.2174801e-03
1.5142976e+14	5.5841506e-01	5.3711336e-01	5.5639186e-01	4.4981659e-01	6.2373086e-03	1.5085534e-03	1.3500402e-04	2.9961610e-06	6.6095808e-06	9.8311735e-03	5.8118942e-04	2.8108246e-06	-9.4901817e-03
2.4000000e+14	5.5487255e-01	5.3570381e-01	5.5847705e-01	4.4650977e-01	6.1836755e-03	1.4961094e-03	1.3396267e-04	2.9714458e-06	6.5585976e-06	9.8101911e-03	5.7994876e-04	2.8048244e-06	-9.7421419e-03
3.8037436e+14	5.5139693e-01	5.3430515e-01	5.6058578e-01	4.4325384e-01	6.1310586e-03	1.4838769e-03	1.3293962e-04	2.9471505e-06	6.5085110e-06	9.7889455e-03	5.7869253e-04	2.7987489e-06	-9.9741222e-03
6.0285274e+14	5.4798612e-01	5.3291726e-01	5.6271850e-01	4.4004728e-01	6.0794258e-03	1.4718492e-03	1.3193433e-04	2.9232622e-06	6.4592938e-06	9.7674410e-03	5.7742101e-04	2.7925993e-06	-1.0186852e-02
9.5545720e+14	5.4463812e-01	5.3153999e-01	5.6487567e-01	4.3688863e-01	6.0287466e-03	1.4600203e-03	1.3094627e-04	2.8997686e-06	6.4109198e-06	9.7456820e-03	5.7613444e-04	2.7863771e-06	-1.0381028e-02
1.5142976e+15	5.4135102e-01	5.3017321e-01	5.6705777e-01	4.3377650e-01	5.9789919e-03	1.4483842e-03	1.2997492e-04	2.8766579e-06	6.3633641e-06	9.7236724e-03	5.7483307e-04	2.7800832e-06	-1.0557320e-02
2.4000000e+15	5.3812300e-01	5.2881679e-01	5.6926528e-01	4.3070955e-01	5.9301336e-03	1.4369351e-03	1.2901979e-04	2.8539186e-06	6.3166027e-06	9.7014162e-03	5.7351711e-04	2.7737188e-06	-1.0716369e-02
3.8037436e+15	5.3495230e-01	5.2747060e-01	5.7149870e-01	4.2768649e-01	5.8821449e-03	1.4256675e-03	1.2808042e-04	2.8315398e-06	6.2706125e-06	9.6789168e-03	5.7218678e-04	2.7672849e-06	-1.0858787e-02
6.0285274e+15	5.3183724e-01	5.2613453e-01	5.7375855e-01	4.2470609e-01	5.8350001e-03	1.4145762e-03	1.2715635e-04	2.8095112e-06	6.2253716e-06	9.6561777e-03	5.7084228e-04	2.7607824e-06	-1.0985164e-02
9.5545720e+15	5.2877621e-01	5.2480844e-01	5.7604535e-01	4.2176714e-01	5.7886745e-03	1.4036560e-03	1.2624715e-04	2.7878225e-06	6.1808588e-06	9.6332019e-03	5.6948379e-04	2.7542123e-06	-1.1096062e-02
1.5142976e+16	5.2576766e-01	5.2349221e-01	5.7835965e-01	4.1886852e-01	5.7431446e-03	1.3929023e-03	1.2535241e-04	2.7664642e-06	6.1370536e-06	9.6099927e-03	5.6811150e-04	2.7475755e-06	-1.1192022e-02
2.4000000e+16	5.2281011e-01	5.2218573e-01	5.8070201e-01	4.1600912e-01	5.6983874e-03	1.3823101e-03	1.2447172e-04	2.7454270e-06	6.0939365e-06	9.5865526e-03	5.6672557e-04	2.7408726e-06	-1.1273561e-02
3.8037436e+16	5.1990212e-01	5.2088888e-01	5.8307300e-01	4.1318787e-01	5.6543811e-03	1.3718752e-03	1.2360470e-04	2.7247019e-06	6.0514888e-06	9.5628843e-03	5.6532615e-04	2.7341046e-06	-1.1341175e-02
6.0285274e+16	5.1704232e-01	5.1960153e-01	5.8547321e-01	4.1040376e-01	5.6111049e-03	1.3615930e-03	1.2275098e-04	2.7042803e-06	6.0096922e-06	9.5389903e-03	5.6391339e-04	2.7272720e-06	-1.1395340e-02
9.5545720e+16	5.1422940e-01	5.1832359e-01	5.8790325e-01	4.0765580e-01	5.5685384e-03	1.3514595e-03	1.2191021e-04	2.6841540e-06	5.9685294e-06	9.5148728e-03	5.6248742e-04	2.7203755e-06	-1.1436512e-02
1.5142976e+17	5.1146208e-01	5.1705493e-01	5.9036375e-01	4.0494303e-01	5.5266622e-03	1.3414705e-03	1.2108204e-04	2.6643148e-06	5.9279836e-06	9.4905339e-03	5.6104836e-04	2.7134158e-06	-1.1465127e-02
2.4000000e+17	5.0873915e-01	5.1579545e-01	5.9285536e-01	4.0226453e-01	5.4854576e-03	1.3316223e-03	1.2026614e-04	2.6447551e-06	5.8880387e-06	9.4659756e-03	5.5959634e-04	2.7063933e-06	-1.1481604e-02
3.8037436e+17	5.0605942e-01	5.1454503e-01	5.9537872e-01	3.9961943e-01	5.4449066e-03	1.3219111e-03	1.1946220e-04	2.6254675e-06	5.8486790e-06	9.4411997e-03	5.5813145e-04	2.6993086e-06	-1.1486345e-02
6.0285274e+17	5.0342176e-01	5.1330358e-01	5.9793454e-01	3.9700686e-01	5.4049919e-03	1.3123333e-03	1.1866991e-04	2.6064448e-06	5.8098895e-06	9.4162077e-03	5.5665379e-04	2.6921621e-06	-1.1479733e-02
9.5545720e+17	5.0082508e-01	5.1207098e-01	6.0052351e-01	3.9442600e-01	5.3656966e-03	1.3028853e-03	1.1788896e-04	2.5876801e-06	5.7716557e-06	9.3910011e-03	5.5516345e-04	2.6849543e-06	-1.1462136e-02
1.5142976e+18	4.9826833e-01	5.1084714e-01	6.0314636e-01	3.9187604e-01	5.3270047e-03	1.2935639e-03	1.1711908e-04	2.5691666e-06	5.7339636e-06	9.3655813e-03	5.5366050e-04	2.6776856e-06	-1.1433908e-02
2.4000000e+18	4.9575050e-01	5.0963194e-01	6.0580383e-01	3.8935621e-01	5.2889006e-03	1.2843657e-03	1.1635999e-04	2.5508979e-06	5.6967998e-06	9.3399494e-03	5.5214502e-04	2.6703562e-06	-1.1395386e-02
3.8037436e+18	4.9327060e-01	5.0842530e-01	6.0849671e-01	3.8686576e-01	5.2513693e-03	1.2752876e-03	1.1561142e-04	2.5328678e-06	5.6601511e-06	9.3141066e-03	5.5061707e-04	2.6629665e-06	-1.1346894e-02
6.0285274e+18	4.9082769e-01	5.0722711e-01	6.1122578e-01	3.8440395e-01	5.2143962e-03	1.2663266e-03	1.1487312e-04	2.5150702e-06	5.6240049e-06	9.2880535e-03	5.4907670e-04	2.6555168e-06	-1.1288739e-02
9.5545720e+18	4.8842085e-01	5.0603728e-01	6.1399186e-01	3.8197010e-01	5.1779674e-03	1.2574797e-03	1.1414483e-04	2.4974992e-06	5.5883491e-06	9.2617912e-03	5.4752395e-04	2.6480072e-06	-1.1221220e-02
1.5142976e+19	4.8604921e-01	5.0485571e-01	6.1679581e-01	3.7956350e-01	5.1420693e-03	1.2487440e-03	1.1342631e-04	2.4801491e-06	5.5531718e-06	9.2353200e-03	5.4595886e-04	2.6404379e-06	-1.1144617e-02
2.4000000e+19	4.8371191e-01	5.0368231e-01	6.1963850e-01	3.7718351e-01	5.1066888e-03	1.2401168e-03	1.1271734e-04	2.4630145e-06	5.5184616e-06	9.2086406e-03	5.4438147e-04	2.6328091e-06	-1.1059203e-02
3.8037436e+19	4.8140814e-01	5.0251698e-01	6.2252083e-01	3.7482948e-01	5.0718133e-03	1.2315955e-03	1.1201768e-04	2.4460901e-06	5.4842076e-06	9.1817534e-03	5.4279179e-04	2.6251209e-06	-1.0965234e-02
6.0285274e+19	4.7913709e-01	5.0135964e-01	6.2544373e-01	3.7250078e-01	5.0374306e-03	1.2231773e-03	1.1132712e-04	2.4293706e-06	5.4503989e-06	9.1546584e-03	5.4118983e-04	2.6173733e-06	-1.0862959e-02
9.5545720e+19	4.7689800e-01	5.0021019e-01	6.2840817e-01	3.7019680e-01	5.0035287e-03	1.2148598e-03	1.1064545e-04	2.4128511e-06	5.4170253e-06	9.1273558e-03	5.3957560e-04	2.6095663e-06	-1.0752611e-02
1.5142976e+20	4.7469012e-01	4.9906855e-01	6.3141515e-01	3.6791696e-01	4.9700963e-03	1.2066406e-03	1.0997246e-04	2.3965268e-06	5.3840767e-06	9.0998456e-03	5.3794910e-04	2.6017000e-06	-1.0634416e-02
2.4000000e+20	4.7251274e-01	4.9793463e-01	6.3446569e-01	3.6566069e-01	4.9371221e-03	1.1985172e-03	1.0930795e-04	2.3803928e-06	5.3515433e-06	9.0721275e-03	5.3631032e-04	2.5937743e-06	-1.0508587e-02
3.8037436e+20	4.7036515e-01	4.9680834e-01	6.3756086e-01	3.6342743e-01	4.9045955e-03	1.1904874e-03	1.0865172e-04	2.3644446e-06	5.3194158e-06	9.0442014e-03	5.3465924e-04	2.5857891e-06	-1.0375326e-02
6.0285274e+20	4.6824669e-01	4.9568961e-01	6.4070176e-01	3.6121663e-01	4.8725061e-03	1.1825489e-03	1.0800361e-04	2.3486778e-06	5.2876849e-06	9.0160667e-03	5.3299583e-04	2.5777443e-06	-1.0234828e-02
9.5545720e+20	4.6615670e-01	4.9457834e-01	6.4388953e-01	3.5902776e-01	4.8408437e-03	1.1746995e-03	1.0736341e-04	2.3330881e-06	5.2563419e-06	8.9877229e-03	5.3132006e-04	2.5696398e-06	-1.0087275e-02
1.5142976e+21	4.6409454e-01	4.9347445e-01	6.4712535e-01	3.5686031e-01	4.8095985e-03	1.1669372e-03	1.0673095e-04	2.3176711e-06	5.2253780e-06	8.9591694e-03	5.2963189e-04	2.5614752e-06	-9.9328416e-03
2.4000000e+21	4.6205960e-01	4.9237787e-01	6.5041045e-01	3.5471379e-01	4.7787610e-03	1.1592597e-03	1.0610607e-04	2.3024229e-06	5.1947848e-06	8.9304052e-03	5.2793128e-04	2.5532505e-06	-9.7716917e-03
3.8037436e+21	4.6005129e-01	4.9128852e-01	6.5374610e-01	3.5258769e-01	4.7483220e-03	1.1516653e-03	1.0548860e-04	2.2873394e-06	5.1645544e-06	8.9014294e-03	5.2621816e-04	2.5449653e-06	-9.6039807e-03
6.0285274e+21	4.5806903e-01	4.9020631e-01	6.5713359e-01	3.5048154e-01	4.7182725e-03	1.1441518e-03	1.0487837e-04	2.2724167e-06	5.1346786e-06	8.8722409e-03	5.2449246e-04	2.5366192e-06	-9.4298552e-03
9.5545720e+21	4.5611227e-01	4.8913118e-01	6.6057430e-01	3.4839488e-01	4.6886039e-03	1.1367174e-03	1.0427523e-04	2.2576511e-06	5.1051500e-06	8.8428386e-03	5.2275413e-04	2.5282121e-06	-9.2494527e-03
1.5142976e+22	4.5418045e-01	4.8806304e-01	6.6406964e-01	3.4632725e-01	4.6593076e-03	1.1293602e-03	1.0367903e-04	2.2430388e-06	5.0759609e-06	8.8132211e-03	5.2100308e-04	2.5197434e-06	-9.0629025e-03
2.4000000e+22	4.5227305e-01	4.8700182e-01	6.6762107e-01	3.4427820e-01	4.6303755e-03	1.1220784e-03	1.0308962e-04	2.2285763e-06	5.0471041e-06	8.7833868e-03	5.1923922e-04	2.5112128e-06	-8.8703254e-03
3.8037436e+22	4.5038957e-01	4.8594745e-01	6.7123011e-01	3.4224730e-01	4.6017996e-03	1.1148702e-03	1.0250684e-04	2.2142601e-06	5.0185725e-06	8.7533342e-03	5.1746245e-04	2.5026197e-06	-8.6718336e-03
6.0285274e+22	4.4852950e-01	4.8489986e-01	6.7489834e-01	3.4023411e-01	4.5735721e-03	1.1077339e-03	1.0193057e-04	2.2000866e-06	4.9903592e-06	8.7230614e-03	5.1567266e-04	2.4939637e-06	-8.4675318e-03
9.5545720e+22	4.4669237e-01	4.8385897e-01	6.7862740e-01	3.3823824e-01	4.5456854e-03	1.1006679e-03	1.0136067e-04	2.1860526e-06	4.9624576e-06	8.6925665e-03	5.1386976e-04	2.4852443e-06	-8.2575160e-03
1.5142976e+23	4.4487770e-01	4.8282471e-01	6.8241899e-01	3.3625925e-01	4.5181322e-03	1.0936704e-03	1.0079699e-04	2.1721548e-06	4.9348610e-06	8.6618476e-03	5.1205361e-04	2.4764608e-06	-8.0418747e-03
2.4000000e+23	4.4308504e-01	4.8179701e-01	6.8627488e-01	3.3429676e-01	4.4909054e-03	1.0867398e-03	1.0023942e-04	2.1583899e-06	4.9075631e-06	8.6309023e-03	5.1022408e-04	2.4676126e-06	-7.8206883e-03
3.8037436e+23	4.4131395e-01	4.8077581e-01	6.9019692e-01	3.3235037e-01	4.4639979e-03	1.0798746e-03	9.9687820e-05	2.1447548e-06	4.8805577e-06	8.5997283e-03	5.0838103e-04	2.4586990e-06	-7.5940295e-03
6.0285274e+23	4.3956400e-01	4.7976104e-01	6.9418703e-01	3.3041969e-01	4.4374030e-03	1.0730733e-03	9.9142070e-05	2.1312465e-06	4.8538386e-06	8.5683231e-03	5.0652432e-04	2.4497193e-06	-7.3619632e-03
9.5545720e+23	4.3783478e-01	4.7875263e-01	6.9824719e-01	3.2850434e-01	4.4111141e-03	1.0663342e-03	9.8602049e-05	2.1178619e-06	4.8274001e-06	8.5366840e-03	5.0465378e-04	2.4406728e-06	-7.1245464e-03
