mHiggs mTop log10gamma lmin
1.212000e+02 1.722000e+02 -3.529989e+02 -1.955047e-02
1.212000e+02 1.724000e+02 -3.171105e+02 -2.078494e-02
1.212000e+02 1.726000e+02 -2.852313e+02 -2.202329e-02
1.212000e+02 1.728000e+02 -2.567263e+02 -2.326553e-02
1.212000e+02 1.730000e+02 -2.310875e+02 -2.451166e-02
1.212000e+02 1.732000e+02 -2.079040e+02 -2.576168e-02
1.212000e+02 1.734000e+02 -1.868400e+02 -2.701558e-02
1.212000e+02 1.736000e+02 -1.676181e+02 -2.827416e-02
1.212000e+02 1.738000e+02 -1.500071e+02 -2.953799e-02
1.212000e+02 1.740000e+02 -1.338131e+02 -3.080581e-02
1.212000e+02 1.742000e+02 -1.188720e+02 -3.207765e-02
1.212000e+02 1.744000e+02 -1.050442e+02 -3.335349e-02
1.212000e+02 1.746000e+02 -9.221003e+01 -3.463334e-02
1.212000e+02 1.748000e+02 -8.026628e+01 -3.591721e-02
1.212000e+02 1.750000e+02 -6.912365e+01 -3.720632e-02
1.212000e+02 1.752000e+02 -5.870437e+01 -3.850090e-02
1.212000e+02 1.754000e+02 -4.894035e+01 -3.979960e-02
1.212000e+02 1.756000e+02 -3.977184e+01 -4.110245e-02
1.212000e+02 1.758000e+02 -3.114611e+01 -4.240944e-02
1.212000e+02 1.760000e+02 -2.301649e+01 -4.372059e-02
1.212000e+02 1.762000e+02 -1.534150e+01 -4.503603e-02
1.212000e+02 1.764000e+02 -8.084112e+00 -4.635857e-02
1.212000e+02 1.766000e+02 -1.211248e+00 -4.768538e-02
1.212000e+02 1.768000e+02 5.306473e+00 -4.901648e-02
1.212000e+02 1.770000e+02 1.149615e+01 -5.035187e-02
1.212000e+02 1.772000e+02 1.738184e+01 -5.169157e-02
1.212000e+02 1.774000e+02 2.298529e+01 -5.303557e-02
1.212000e+02 1.776000e+02 2.832627e+01 -5.438674e-02
1.212000e+02 1.778000e+02 3.342274e+01 -5.574295e-02
1.212000e+02 1.780000e+02 3.829109e+01 -5.710361e-02
1.212000e+02 1.782000e+02 4.294622e+01 -5.846872e-02
1.212000e+02 1.784000e+02 4.740182e+01 -5.983830e-02
1.212000e+02 1.786000e+02 5.167041e+01 -6.121235e-02
1.212000e+02 1.788000e+02 5.576349e+01 -6.259338e-02
1.212000e+02 1.790000e+02 5.969163e+01 -6.398036e-02
1.212000e+02 1.792000e+02 6.346459e+01 -6.537194e-02
1.212000e+02 1.794000e+02 6.709135e+01 -6.676815e-02
1.212000e+02 1.796000e+02 7.058024e+01 -6.816901e-02
1.212000e+02 1.798000e+02 7.393894e+01 -6.957451e-02
1.212000e+02 1.800000e+02 7.717461e+01 -7.098654e-02
