mHiggs mTop log10gamma lmin
1.208000e+02 1.740000e+02 -1.572952e+02 -2.903744e-02
1.208000e+02 1.742000e+02 -1.407327e+02 -3.028852e-02
1.208000e+02 1.744000e+02 -1.254564e+02 -3.154492e-02
1.208000e+02 1.746000e+02 -1.113223e+02 -3.280538e-02
1.208000e+02 1.748000e+02 -9.820719e+01 -3.406991e-02
1.208000e+02 1.750000e+02 -8.600510e+01 -3.533851e-02
1.208000e+02 1.752000e+02 -7.462406e+01 -3.661118e-02
1.208000e+02 1.754000e+02 -6.398413e+01 -3.788793e-02
1.208000e+02 1.756000e+02 -5.401541e+01 -3.916981e-02
1.208000e+02 1.758000e+02 -4.465650e+01 -4.045743e-02
1.208000e+02 1.760000e+02 -3.585323e+01 -4.174925e-02
1.208000e+02 1.762000e+02 -2.755769e+01 -4.304527e-02
1.208000e+02 1.764000e+02 -1.972731e+01 -4.434550e-02
1.208000e+02 1.766000e+02 -1.232417e+01 -4.564994e-02
1.208000e+02 1.768000e+02 -5.314338e+00 -4.695861e-02
1.208000e+02 1.770000e+02 1.332578e+00 -4.827407e-02
1.208000e+02 1.772000e+02 7.643832e+00 -4.959439e-02
1.208000e+02 1.774000e+02 1.364443e+01 -5.091906e-02
1.208000e+02 1.776000e+02 1.935659e+01 -5.224809e-02
1.208000e+02 1.778000e+02 2.480055e+01 -5.358148e-02
1.208000e+02 1.780000e+02 2.999472e+01 -5.491924e-02
1.208000e+02 1.782000e+02 3.495584e+01 -5.626291e-02
1.208000e+02 1.784000e+02 3.969921e+01 -5.761301e-02
1.208000e+02 1.786000e+02 4.423881e+01 -5.896762e-02
1.208000e+02 1.788000e+02 4.858746e+01 -6.032674e-02
1.208000e+02 1.790000e+02 5.275693e+01 -6.169039e-02
1.208000e+02 1.792000e+02 5.675802e+01 -6.305857e-02
1.208000e+02 1.794000e+02 6.060072e+01 -6.443161e-02
1.208000e+02 1.796000e+02 6.429421e+01 -6.581283e-02
1.208000e+02 1.798000e+02 6.784701e+01 -6.719873e-02
1.208000e+02 1.800000e+02 7.126698e+01 -6.858930e-02
1.210000e+02 1.700000e+02 -2.679107e+03 -4.284899e-03
1.210000e+02 1.702000e+02 -2.005354e+03 -5.458929e-03
1.210000e+02 1.704000e+02 -1.582334e+03 -6.636710e-03
1.210000e+02 1.706000e+02 -1.292313e+03 -7.818238e-03
1.210000e+02 1.708000e+02 -1.081193e+03 -9.003513e-03
1.210000e+02 1.710000e+02 -9.206820e+02 -1.019328e-02
1.210000e+02 1.712000e+02 -7.945543e+02 -1.138693e-02
1.210000e+02 1.714000e+02 -6.928441e+02 -1.258442e-02
1.210000e+02 1.716000e+02 -6.090944e+02 -1.378575e-02
1.210000e+02 1.718000e+02 -5.389394e+02 -1.499091e-02
1.210000e+02 1.720000e+02 -4.793211e+02 -1.619992e-02
1.210000e+02 1.722000e+02 -4.280344e+02 -1.741276e-02
1.210000e+02 1.724000e+02 -3.834491e+02 -1.862944e-02
1.210000e+02 1.726000e+02 -3.443341e+02 -1.984996e-02
1.210000e+02 1.728000e+02 -3.097424e+02 -2.107432e-02
1.210000e+02 1.730000e+02 -2.789333e+02 -2.230315e-02
1.210000e+02 1.732000e+02 -2.513197e+02 -2.353691e-02
1.210000e+02 1.734000e+02 -2.264298e+02 -2.477461e-02
1.210000e+02 1.736000e+02 -2.038802e+02 -2.601625e-02
1.210000e+02 1.738000e+02 -1.833564e+02 -2.726184e-02
1.210000e+02 1.740000e+02 -1.645977e+02 -2.851138e-02
1.210000e+02 1.742000e+02 -1.473862e+02 -2.976487e-02
1.210000e+02 1.744000e+02 -1.315384e+02 -3.102232e-02
1.210000e+02 1.746000e+02 -1.168988e+02 -3.228536e-02
