mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
6.0285274e+17	5.0341673e-01	5.1323873e-01	5.9789816e-01	3.9769577e-01	5.4065469e-03	1.3130293e-03	1.1873250e-04	2.6078273e-06	5.8129542e-06	9.4211411e-03	5.5694542e-04	2.6935726e-06	-1.2193590e-02
9.5545720e+17	5.0082009e-01	5.1200629e-01	6.0048661e-01	3.9511376e-01	5.3672565e-03	1.3035835e-03	1.1795179e-04	2.5890668e-06	5.7747315e-06	9.3959734e-03	5.5545738e-04	2.6863759e-06	-1.2175881e-02
1.5142976e+18	4.9826339e-01	5.1078260e-01	6.0310893e-01	3.9256263e-01	5.3285692e-03	1.2942641e-03	1.1718212e-04	2.5705574e-06	5.7370501e-06	9.3705918e-03	5.5395669e-04	2.6791181e-06	-1.2147439e-02
2.4000000e+18	4.9574559e-01	5.0956757e-01	6.0576586e-01	3.9004161e-01	5.2904696e-03	1.2850679e-03	1.1642324e-04	2.5522926e-06	5.6998966e-06	9.3449973e-03	5.5244342e-04	2.6717994e-06	-1.2108603e-02
3.8037436e+18	4.9326573e-01	5.0836109e-01	6.0845819e-01	3.8754995e-01	5.2529426e-03	1.2759917e-03	1.1567488e-04	2.5342662e-06	5.6632580e-06	9.3191912e-03	5.5091764e-04	2.6644202e-06	-1.2059701e-02
6.0285274e+18	4.9082286e-01	5.0716307e-01	6.1118670e-01	3.8508691e-01	5.2159737e-03	1.2670325e-03	1.1493677e-04	2.5164722e-06	5.6271215e-06	9.2931741e-03	5.4937940e-04	2.6569807e-06	-1.2001045e-02
9.5545720e+18	4.8841607e-01	5.0597341e-01	6.1395222e-01	3.8265181e-01	5.1795488e-03	1.2581873e-03	1.1420868e-04	2.4989046e-06	5.5914750e-06	9.2669470e-03	5.4782873e-04	2.6494812e-06	-1.1932935e-02
1.5142976e+19	4.8604447e-01	5.0479201e-01	6.1675559e-01	3.8024395e-01	5.1436545e-03	1.2494533e-03	1.1349035e-04	2.4815578e-06	5.5563067e-06	9.2405105e-03	5.4626569e-04	2.6419218e-06	-1.1855657e-02
2.4000000e+19	4.8370721e-01	5.0361878e-01	6.1959769e-01	3.7786267e-01	5.1082777e-03	1.2408277e-03	1.1278155e-04	2.4644263e-06	5.5216053e-06	9.2138649e-03	5.4469030e-04	2.6343027e-06	-1.1769484e-02
3.8037436e+19	4.8140347e-01	5.0245363e-01	6.2247942e-01	3.7550734e-01	5.0734057e-03	1.2323078e-03	1.1208206e-04	2.4475048e-06	5.4873596e-06	9.1870108e-03	5.4310258e-04	2.6266239e-06	-1.1674677e-02
6.0285274e+19	4.7913247e-01	5.0129646e-01	6.2540171e-01	3.7317732e-01	5.0390263e-03	1.2238910e-03	1.1139167e-04	2.4307882e-06	5.4535590e-06	9.1599482e-03	5.4150254e-04	2.6188856e-06	-1.1571486e-02
9.5545720e+19	4.7689341e-01	5.0014719e-01	6.2836553e-01	3.7087201e-01	5.0051276e-03	1.2155749e-03	1.1071015e-04	2.4142713e-06	5.4201932e-06	9.1326774e-03	5.3989018e-04	2.6110877e-06	-1.1460149e-02
1.5142976e+20	4.7468558e-01	4.9900573e-01	6.3137187e-01	3.6859082e-01	4.9716982e-03	1.2073569e-03	1.1003731e-04	2.3979495e-06	5.3872520e-06	9.1051982e-03	5.3826552e-04	2.6032303e-06	-1.1340892e-02
2.4000000e+20	4.7250823e-01	4.9787199e-01	6.3442176e-01	3.6633318e-01	4.9387270e-03	1.1992348e-03	1.0937295e-04	2.3818179e-06	5.3547258e-06	9.0775105e-03	5.3662853e-04	2.5953133e-06	-1.1213933e-02
